재질,외경_mm,두께_mm,길이_m,무게_kg,생산시간_분,생산단가_원
Carbon Steel,304.8,4.78,6.036,214.232,41.61,265051
Carbon Steel,254.0,8.56,12.034,620.332,70.59,756459
PVC,25.4,1.65,6.002,1.045,17.34,5198
Carbon Steel,25.4,1.65,6.034,5.734,24.7,12157
Carbon Steel,25.4,2.77,12.005,18.734,51.92,32015
Stainless Steel 316,50.8,2.77,11.966,40.672,68.76,235665
Carbon Steel,25.4,2.77,6.048,9.415,28.82,16245
Stainless Steel 316,25.4,2.77,3.039,4.688,24.43,30559
Stainless Steel 316,76.2,5.16,5.953,55.199,49.26,311513
Stainless Steel 316,50.8,3.91,9.044,42.207,60.11,242904
Copper,25.4,1.65,11.96,13.129,56.29,168123
Carbon Steel,101.6,2.11,8.962,46.181,42.6,63811
Copper,101.6,2.11,2.978,17.694,22.83,215544
HDPE,38.1,2.77,12.036,3.473,37.39,12762
PVC,25.4,1.65,3.001,0.515,11.05,3002
Carbon Steel,203.2,2.77,9.046,124.914,46.89,159349
Stainless Steel 304,25.4,1.65,9.01,8.746,47.57,48826
Galvanized Steel,76.2,3.05,12.037,66.074,56.5,109873
Carbon Steel,50.8,3.91,5.965,26.544,31.36,38028
Copper,38.1,3.56,3.009,10.44,25.02,129306
Stainless Steel 304,38.1,3.56,8.975,27.535,47.64,132196
Stainless Steel 316,101.6,2.11,9.015,46.853,58.68,269020
Galvanized Steel,38.1,1.65,3.037,4.486,17.43,9915
Galvanized Steel,50.8,1.65,3.02,5.955,19.99,12147
Stainless Steel 316,203.2,2.77,8.978,128.018,63.31,715075
Stainless Steel 304,38.1,2.77,11.958,29.236,65.18,144232
Stainless Steel 304,101.6,2.11,3.041,16.163,27.84,78095
HDPE,25.4,3.38,11.988,2.659,35.51,10629
Stainless Steel 304,254.0,8.56,3.034,156.276,50.2,712224
HDPE,101.6,5.74,3.05,5.006,20.51,12859
Copper,152.4,2.77,2.995,34.464,29.13,419342
Stainless Steel 304,25.4,2.77,6.002,9.602,36.37,50531
HDPE,76.2,2.11,6.038,2.788,20.14,9388
Carbon Steel,25.4,2.77,6.011,9.374,28.99,17493
Carbon Steel,101.6,2.11,5.995,30.955,31.09,43695
HDPE,50.8,1.65,6.027,1.462,17.42,6370
Carbon Steel,76.2,5.16,9.004,83.303,43.13,108533
Carbon Steel,76.2,2.11,9.037,34.557,40.59,48782
Stainless Steel 316,38.1,1.65,2.985,4.501,21.83,29526
Stainless Steel 304,152.4,2.77,5.983,63.809,42.94,294733
Stainless Steel 304,76.2,3.05,9.042,50.644,53.43,237822
Carbon Steel,38.1,3.56,11.998,36.659,47.15,53161
Stainless Steel 304,101.6,3.05,8.975,68.191,56.23,318520
Carbon Steel,50.8,3.91,8.974,41.03,40.19,55759
Carbon Steel,38.1,3.56,5.983,18.449,31.29,27767
Carbon Steel,50.8,2.77,9.025,30.05,37.61,42735
Carbon Steel,38.1,2.77,12.007,28.573,50.86,43117
Carbon Steel,38.1,3.56,12.04,36.333,51.29,52416
Stainless Steel 304,304.8,9.53,5.99,421.179,74.56,1908977
Copper,76.2,3.05,9.034,56.181,47.57,683054
PVC,50.8,1.65,6.027,2.15,18.03,7876
Stainless Steel 316,38.1,2.77,2.956,7.305,24.16,44906
PVC,101.6,5.74,8.997,21.388,31.9,52880
Carbon Steel,25.4,2.77,12.034,18.62,49.75,31093
Carbon Steel,25.4,1.65,3.031,2.938,16.75,6976
Stainless Steel 304,101.6,5.74,11.988,165.241,68.96,755822
PVC,50.8,1.65,3.04,1.093,10.26,4369
Carbon Steel,203.2,7.04,8.983,308.29,56.62,379932
Stainless Steel 316,50.8,3.91,9.029,41.413,56.25,238312
Carbon Steel,76.2,3.05,3.038,16.572,21.61,23521
Carbon Steel,152.4,6.35,3.004,66.938,30.24,86434
PVC,76.2,5.16,6.041,9.934,22.5,26653
Stainless Steel 304,203.2,3.96,2.964,58.617,36.18,270611
Carbon Steel,203.2,2.77,11.952,166.206,61.0,210763
Stainless Steel 304,25.4,3.38,2.96,5.519,23.34,28835
HDPE,38.1,2.77,8.973,2.61,25.04,9913
PVC,38.1,1.65,3.01,0.795,10.5,2861
Copper,76.2,5.16,12.041,120.784,69.12,1461085
Carbon Steel,25.4,1.65,3.028,2.9,14.62,6151
Galvanized Steel,50.8,2.77,5.959,19.139,31.83,34517
Stainless Steel 316,25.4,3.38,8.971,16.762,55.63,103489
Carbon Steel,101.6,5.74,6.002,80.543,33.66,102090
Stainless Steel 316,25.4,1.65,12.036,11.836,67.1,77593
Stainless Steel 304,25.4,2.77,9.016,14.016,51.68,71810
Carbon Steel,25.4,3.38,2.968,5.381,19.07,9770
PVC,152.4,6.35,11.99,48.724,41.24,114924
Carbon Steel,152.4,6.35,5.959,136.736,38.6,171493
HDPE,38.1,2.77,8.988,2.62,25.11,9539
HDPE,50.8,2.77,9.03,3.6,27.27,11360
Carbon Steel,50.8,1.65,2.976,5.962,16.11,10063
Carbon Steel,38.1,3.56,6.041,18.383,30.46,27053
Carbon Steel,76.2,2.11,6.033,23.319,30.58,34320
Carbon Steel,203.2,3.96,2.988,58.729,27.65,75465
Carbon Steel,101.6,5.74,3.01,40.595,25.19,52787
PVC,38.1,3.56,5.998,3.2,21.53,11008
PVC,38.1,3.56,11.966,6.487,36.05,20520
Stainless Steel 304,38.1,1.65,3.02,4.67,19.54,25684
Carbon Steel,25.4,3.38,5.951,10.889,27.91,18422
Stainless Steel 316,25.4,3.38,12.014,22.7,72.93,138443
Stainless Steel 316,304.8,4.78,3.015,108.361,49.8,604794
Stainless Steel 316,304.8,4.78,2.997,108.145,47.59,603183
PVC,25.4,2.77,9.044,2.522,26.82,10143
HDPE,25.4,3.38,11.973,2.683,33.13,11432
PVC,25.4,3.38,12.004,3.904,36.86,15657
Stainless Steel 316,38.1,3.56,9.037,28.007,58.95,164673
HDPE,304.8,3.4,5.959,18.221,29.19,37249
Stainless Steel 304,25.4,3.38,9.002,16.934,46.61,84443
HDPE,101.6,2.11,2.978,1.861,13.2,5402
Stainless Steel 316,304.8,9.53,6.01,428.445,77.09,2370351
Stainless Steel 304,152.4,3.4,3.033,38.456,32.38,179138
Carbon Steel,50.8,2.77,2.967,9.851,19.78,15096
PVC,25.4,3.38,6.012,1.924,19.46,7645
Carbon Steel,152.4,3.4,2.983,36.612,25.02,48553
Carbon Steel,38.1,2.77,12.02,29.023,47.95,43912
Stainless Steel 316,76.2,5.16,2.977,27.436,34.78,157311
PVC,152.4,6.35,12.021,49.28,45.55,117119
PVC,25.4,2.77,6.026,1.648,18.93,6909
Stainless Steel 316,25.4,2.77,11.951,18.716,67.34,115154
Carbon Steel,25.4,1.65,12.034,11.492,45.76,22412
Carbon Steel,101.6,5.74,12.021,164.225,59.02,207344
Stainless Steel 304,76.2,5.16,6.037,55.307,46.7,258070
PVC,50.8,2.77,6.05,3.538,19.0,10104
Carbon Steel,101.6,2.11,8.972,46.562,39.55,62353
Galvanized Steel,25.4,1.65,3.041,2.946,16.45,8155
Stainless Steel 304,38.1,2.77,9.025,22.276,50.01,109495
Stainless Steel 304,50.8,2.77,3.037,10.33,25.18,51379
HDPE,101.6,5.74,2.963,4.927,19.31,11829
Carbon Steel,76.2,2.11,5.973,23.016,29.58,32446
Stainless Steel 304,76.2,5.16,11.996,110.017,64.11,505824
PVC,152.4,3.4,2.954,6.632,16.49,17535
Carbon Steel,304.8,9.53,11.998,827.533,71.92,1006016
Copper,25.4,1.65,11.986,13.118,57.59,167293
HDPE,25.4,1.65,12.014,1.431,33.22,8752
HDPE,38.1,3.56,8.958,3.31,28.43,11550
HDPE,50.8,3.91,9.003,4.908,29.61,13648
HDPE,76.2,5.16,12.006,13.065,37.47,30638
Galvanized Steel,254.0,8.56,11.97,613.156,79.72,934629
PVC,101.6,2.11,12.024,11.089,36.02,31670
Stainless Steel 316,50.8,1.65,11.953,24.745,61.59,147842
PVC,304.8,4.78,5.986,37.922,30.95,87857
HDPE,38.1,2.77,11.991,3.56,36.8,13147
Stainless Steel 304,25.4,1.65,5.96,5.733,35.72,31405
Stainless Steel 316,76.2,5.16,6.015,54.931,45.25,311124
Stainless Steel 304,38.1,3.56,9.038,28.36,47.78,135892
Stainless Steel 304,76.2,2.11,2.995,11.837,24.2,57251
Stainless Steel 304,76.2,5.16,3.003,27.305,33.17,129328
Stainless Steel 304,152.4,3.4,12.004,152.346,71.71,698539
Carbon Steel,25.4,3.38,2.96,5.407,19.97,10469
Stainless Steel 304,50.8,3.91,8.952,40.612,55.56,191694
Stainless Steel 316,25.4,2.77,2.964,4.683,24.13,30160
Carbon Steel,25.4,3.38,11.966,22.14,46.87,34979
Carbon Steel,38.1,2.77,12.036,29.106,48.57,43809
HDPE,203.2,2.77,9.044,15.062,34.79,32448
Carbon Steel,76.2,5.16,3.037,27.714,24.44,37402
Carbon Steel,76.2,3.05,6.043,33.549,30.84,45628
HDPE,38.1,2.77,6.015,1.77,21.05,6244
Stainless Steel 316,76.2,5.16,12.005,111.776,87.43,630354
Stainless Steel 316,25.4,2.77,6.026,9.49,45.2,60348
Galvanized Steel,152.4,2.77,2.984,29.886,23.83,49630
Stainless Steel 316,101.6,3.05,6.022,46.602,46.87,264888
Carbon Steel,203.2,7.04,12.043,407.053,65.46,499400
Carbon Steel,38.1,3.56,12.004,36.366,53.38,52462
PVC,38.1,2.77,3.002,1.285,12.89,5622
Carbon Steel,203.2,3.96,9.032,174.578,50.88,217514
Carbon Steel,25.4,2.77,6.002,9.402,28.4,15865
Stainless Steel 304,203.2,2.77,5.976,83.784,50.15,385599
HDPE,76.2,2.11,6.027,2.805,19.24,8289
HDPE,50.8,1.65,2.968,0.714,10.76,2852
Carbon Steel,76.2,2.11,6.013,23.337,26.82,32523
Stainless Steel 304,101.6,5.74,8.984,126.595,63.62,581731
Stainless Steel 304,203.2,2.77,5.976,84.329,51.68,387939
Stainless Steel 304,76.2,2.11,3.033,11.767,23.61,57304
Stainless Steel 316,38.1,2.77,9.003,21.884,51.17,129920
PVC,50.8,2.77,11.959,7.134,35.15,22211
PVC,25.4,2.77,5.992,1.613,18.96,6585
PVC,25.4,2.77,6.029,1.675,19.83,7755
Stainless Steel 316,25.4,1.65,5.962,5.832,33.52,37341
Carbon Steel,50.8,3.91,11.978,53.513,53.46,73573
Stainless Steel 316,76.2,3.05,12.043,67.584,72.52,385225
HDPE,101.6,5.74,12.032,19.701,40.18,42422
Galvanized Steel,76.2,3.05,3.008,16.121,22.24,27673
Copper,152.4,6.35,8.99,235.397,60.99,2835246
Carbon Steel,25.4,1.65,9.046,8.787,36.33,16183
Stainless Steel 316,50.8,3.91,5.95,27.239,43.77,157578
Stainless Steel 304,50.8,1.65,8.969,18.266,44.82,90588
Carbon Steel,50.8,1.65,8.957,18.16,35.87,28676
Carbon Steel,76.2,2.11,12.013,45.975,48.21,63551
PVC,152.4,3.4,9.029,20.016,34.98,49802
Stainless Steel 304,50.8,2.77,5.968,20.039,37.47,96637
Stainless Steel 304,101.6,2.11,6.018,31.627,40.37,148991
Stainless Steel 304,152.4,2.77,2.97,30.509,29.45,142586
Carbon Steel,25.4,2.77,12.036,19.019,50.73,31335
HDPE,76.2,2.11,5.989,2.802,19.55,8464
Copper,38.1,1.65,12.014,20.262,58.81,253879
Stainless Steel 316,76.2,5.16,12.038,110.234,78.47,620958
Carbon Steel,25.4,1.65,11.985,11.649,44.24,21278
HDPE,76.2,5.16,8.991,9.96,32.22,23665
Carbon Steel,50.8,1.65,9.028,17.926,35.83,27520
Carbon Steel,254.0,8.56,6.04,310.506,50.02,381106
Stainless Steel 304,203.2,3.96,8.954,177.434,64.98,809695
Carbon Steel,38.1,2.77,11.989,28.787,47.53,43205
Stainless Steel 304,25.4,1.65,9.017,8.926,48.72,48757
Carbon Steel,50.8,1.65,2.972,5.867,16.43,9924
PVC,38.1,1.65,2.966,0.782,11.13,3398
HDPE,38.1,3.56,9.034,3.326,30.87,11664
Carbon Steel,76.2,2.11,6.037,23.88,31.04,34580
Carbon Steel,50.8,1.65,12.023,24.356,46.91,37801
PVC,76.2,5.16,5.986,9.516,24.9,26145
Carbon Steel,101.6,3.05,12.025,87.845,50.32,114245
Copper,304.8,9.53,3.014,236.775,52.0,2850996
Carbon Steel,76.2,3.05,11.968,65.576,48.74,87955
Stainless Steel 316,101.6,2.11,11.973,63.007,70.81,359340
Stainless Steel 304,76.2,5.16,8.952,83.372,54.9,385284
PVC,304.8,3.4,9.033,40.38,33.23,95002
Carbon Steel,101.6,2.11,5.987,31.235,31.59,42729
Stainless Steel 316,50.8,3.91,9.019,41.334,59.59,237375
Galvanized Steel,25.4,3.38,3.009,5.58,21.17,11889
Stainless Steel 304,50.8,1.65,6.044,12.159,36.69,62034
Carbon Steel,203.2,7.04,3.028,102.645,34.24,129701
Stainless Steel 304,25.4,2.77,5.954,9.364,34.23,47823
HDPE,254.0,4.78,8.995,31.812,37.59,64079
Stainless Steel 304,38.1,3.56,8.952,27.352,53.11,132687
Stainless Steel 316,203.2,3.96,5.992,119.869,52.16,668113
Stainless Steel 316,50.8,1.65,3.011,6.172,22.0,37748
Carbon Steel,38.1,2.77,3.035,7.399,20.47,12416
PVC,50.8,2.77,5.996,3.514,19.06,11133
Copper,152.4,3.4,5.996,87.017,40.29,1051101
Stainless Steel 316,101.6,3.05,8.955,67.699,57.66,383025
Carbon Steel,25.4,3.38,12.026,21.754,50.36,34989
Stainless Steel 304,304.8,4.78,2.953,106.979,45.54,489235
Copper,50.8,3.91,5.987,30.217,35.63,368954
Carbon Steel,25.4,1.65,11.978,11.474,48.93,21886
Carbon Steel,152.4,3.4,5.995,73.978,35.78,94431
Copper,25.4,2.77,3.01,5.38,20.72,68129
PVC,152.4,2.77,12.03,22.005,37.64,54657
PVC,38.1,2.77,5.993,2.579,21.08,10763
PVC,152.4,3.4,6.023,13.466,24.48,34116
PVC,38.1,3.56,6.032,3.305,18.86,10362
Stainless Steel 304,152.4,3.4,5.974,75.607,49.7,349302
Carbon Steel,76.2,5.16,12.008,109.011,58.39,141633
HDPE,38.1,1.65,12.024,2.151,31.98,9863
Galvanized Steel,25.4,3.38,9.019,16.283,39.34,31569
Carbon Steel,25.4,1.65,3.015,2.935,15.63,5729
Copper,76.2,5.16,8.961,93.234,49.94,1126659
HDPE,50.8,3.91,9.048,4.942,28.03,13830
Carbon Steel,152.4,3.4,12.02,148.804,56.75,187837
Stainless Steel 316,38.1,3.56,6.024,18.561,43.06,110286
Stainless Steel 316,152.4,6.35,8.958,210.331,69.99,1169460
Galvanized Steel,152.4,6.35,2.956,66.864,34.32,107055
Stainless Steel 304,101.6,2.11,9.039,47.361,58.82,223156
Stainless Steel 316,76.2,2.11,8.974,34.918,55.3,201875
PVC,254.0,4.78,9.024,46.145,42.01,109134
Carbon Steel,38.1,1.65,2.997,4.435,14.07,8081
Carbon Steel,38.1,1.65,2.951,4.323,16.38,7847
Stainless Steel 316,50.8,3.91,6.043,27.628,43.69,159375
Stainless Steel 304,50.8,1.65,8.999,18.391,47.57,90996
Stainless Steel 304,50.8,1.65,2.976,5.993,22.22,31312
Carbon Steel,101.6,5.74,8.954,122.013,47.0,155163
PVC,101.6,3.05,2.962,3.975,14.71,11649
PVC,76.2,3.05,9.009,8.825,29.31,25070
Copper,101.6,5.74,3.04,47.112,31.42,570151
PVC,76.2,2.11,6.035,4.119,20.24,13264
Stainless Steel 316,38.1,3.56,9.036,27.961,56.53,164366
Stainless Steel 304,76.2,3.05,9.01,51.043,56.91,239392
Stainless Steel 304,25.4,1.65,3.045,2.987,20.02,15987
Stainless Steel 304,25.4,3.38,9.029,16.743,52.06,84768
HDPE,76.2,3.05,2.961,1.995,13.4,6052
Carbon Steel,38.1,3.56,11.991,35.777,48.7,51678
Carbon Steel,152.4,2.77,5.987,60.475,29.64,77295
Galvanized Steel,50.8,1.65,3.011,5.983,18.37,11647
Carbon Steel,152.4,6.35,6.033,138.154,39.65,173200
Stainless Steel 316,76.2,2.11,12.033,46.691,70.79,269705
Carbon Steel,101.6,5.74,11.98,161.983,61.61,205152
Stainless Steel 304,101.6,2.11,3.021,16.204,27.85,77634
Carbon Steel,101.6,5.74,11.956,158.835,57.35,201909
Carbon Steel,254.0,8.56,9.001,467.382,60.26,570743
Stainless Steel 304,50.8,2.77,11.994,40.073,67.49,192570
Stainless Steel 304,101.6,2.11,5.996,32.302,37.07,152672
Stainless Steel 304,304.8,3.4,3.014,77.922,40.2,357488
Stainless Steel 304,38.1,1.65,3.047,4.639,19.74,25549
Stainless Steel 316,101.6,2.11,12.023,63.725,77.14,364443
Galvanized Steel,38.1,2.77,2.959,7.182,18.17,14134
PVC,25.4,3.38,3.022,0.991,13.65,4073
Carbon Steel,38.1,3.56,6.031,18.294,31.05,27310
Stainless Steel 316,101.6,3.05,11.965,90.189,77.93,510685
Carbon Steel,152.4,6.35,11.979,272.692,60.07,338073
HDPE,50.8,2.77,2.953,1.169,12.63,3686
PVC,25.4,3.38,9.037,2.997,27.5,12569
Stainless Steel 316,50.8,2.77,11.98,40.386,71.85,234187
Carbon Steel,203.2,3.96,12.0,231.87,58.85,288575
PVC,38.1,3.56,3.001,1.625,13.45,6074
HDPE,25.4,1.65,12.024,1.397,32.16,7630
HDPE,38.1,2.77,9.044,2.62,24.8,8585
Copper,76.2,2.11,5.954,26.394,34.83,323228
Carbon Steel,38.1,3.56,2.968,9.082,18.77,14080
PVC,203.2,2.77,2.998,7.32,17.45,19737
Stainless Steel 304,25.4,2.77,8.987,14.115,52.82,72865
HDPE,38.1,1.65,5.997,1.073,18.67,5777
Carbon Steel,25.4,3.38,12.024,22.424,52.81,35730
Stainless Steel 304,101.6,3.05,3.039,22.756,26.36,106275
HDPE,25.4,1.65,5.984,0.701,17.67,3123
Stainless Steel 304,50.8,2.77,11.951,40.176,64.75,193456
Stainless Steel 304,101.6,5.74,3.002,41.604,34.77,193573
Carbon Steel,25.4,1.65,3.027,2.862,15.36,6694
Galvanized Steel,152.4,2.77,12.04,120.631,62.87,192602
Stainless Steel 304,50.8,3.91,2.973,13.685,24.78,65955
Carbon Steel,254.0,3.4,9.029,192.875,51.15,240772
Galvanized Steel,25.4,1.65,2.973,2.844,16.21,7825
Stainless Steel 316,25.4,1.65,12.014,11.898,70.42,77607
Carbon Steel,38.1,2.77,12.022,28.81,49.68,44072
Copper,50.8,1.65,8.954,20.668,40.85,255009
PVC,38.1,2.77,3.046,1.32,12.79,5347
Carbon Steel,50.8,3.91,6.036,27.719,32.99,39179
PVC,25.4,3.38,3.003,0.999,12.27,4549
Stainless Steel 304,50.8,3.91,6.002,27.43,40.33,129950
Copper,25.4,2.77,5.951,10.414,35.35,130913
Galvanized Steel,254.0,3.4,5.998,127.213,42.4,198867
Stainless Steel 316,76.2,5.16,12.007,110.611,84.76,623927
Carbon Steel,76.2,3.05,11.968,65.713,55.39,88859
Carbon Steel,38.1,1.65,9.039,13.406,37.97,21471
Stainless Steel 316,25.4,2.77,8.956,14.392,48.87,87741
Stainless Steel 316,304.8,3.4,12.007,312.723,88.46,1736143
Carbon Steel,254.0,4.78,6.018,177.963,42.53,220480
PVC,76.2,2.11,8.983,6.165,27.87,19019
HDPE,50.8,2.77,12.032,4.77,35.33,15437
Carbon Steel,38.1,3.56,12.036,35.548,51.66,52175
Stainless Steel 304,76.2,3.05,11.965,67.363,67.69,315844
Carbon Steel,50.8,1.65,8.963,18.05,32.45,27135
Stainless Steel 304,38.1,3.56,6.023,18.423,41.52,90787
HDPE,50.8,2.77,5.983,2.396,20.9,7845
Copper,101.6,5.74,12.025,184.134,75.51,2222340
PVC,25.4,3.38,6.021,1.98,19.79,8202
Carbon Steel,38.1,3.56,2.963,8.995,20.81,14696
PVC,25.4,1.65,2.995,0.514,10.34,2783
Carbon Steel,25.4,1.65,2.971,2.898,14.26,6271
Carbon Steel,101.6,5.74,3.045,40.332,27.12,53507
PVC,50.8,3.91,9.034,7.246,29.3,21443
Carbon Steel,101.6,5.74,6.005,82.968,37.65,106220
HDPE,76.2,5.16,9.037,9.913,31.26,23039
Carbon Steel,152.4,6.35,3.03,69.774,28.81,89521
Copper,25.4,1.65,2.952,3.265,16.79,41985
Stainless Steel 304,203.2,2.77,3.038,41.784,35.26,194038
Stainless Steel 304,76.2,5.16,5.971,54.881,45.91,255208
HDPE,101.6,5.74,6.028,9.946,28.12,22951
Galvanized Steel,25.4,2.77,3.048,4.669,17.94,10352
Stainless Steel 316,38.1,1.65,11.957,18.144,73.96,113476
Stainless Steel 316,76.2,3.05,9.01,51.211,57.68,291681
PVC,50.8,3.91,9.005,7.361,30.71,22226
Stainless Steel 304,76.2,3.05,3.003,16.501,29.41,79060
Carbon Steel,203.2,2.77,9.027,121.811,50.68,155367
Stainless Steel 304,203.2,2.77,12.044,167.214,77.93,766043
Stainless Steel 316,101.6,3.05,12.016,92.316,74.48,521508
Carbon Steel,101.6,5.74,9.032,122.165,41.38,154338
Galvanized Steel,38.1,3.56,3.017,9.004,22.24,18039
Carbon Steel,203.2,7.04,2.971,101.701,33.05,127574
Carbon Steel,50.8,3.91,6.011,27.021,31.77,38394
Copper,50.8,2.77,9.012,33.909,49.61,416281
Stainless Steel 316,25.4,2.77,3.042,4.844,27.33,31168
Copper,76.2,5.16,2.991,30.436,30.01,371081
HDPE,50.8,2.77,11.964,4.732,37.41,16001
Stainless Steel 316,38.1,2.77,11.991,29.493,67.54,174353
HDPE,203.2,3.96,9.022,21.031,34.4,44682
HDPE,25.4,3.38,12.005,2.69,33.52,10629
HDPE,101.6,3.05,5.987,5.401,21.48,13205
Stainless Steel 304,203.2,3.96,9.033,179.672,57.64,819041
Stainless Steel 304,50.8,2.77,2.951,9.889,23.49,47811
Stainless Steel 304,101.6,5.74,11.962,167.036,79.44,765338
Carbon Steel,25.4,3.38,12.039,22.11,48.39,34613
Carbon Steel,38.1,1.65,6.011,8.793,25.5,15652
Stainless Steel 304,50.8,3.91,9.02,42.431,52.14,200592
Stainless Steel 316,50.8,2.77,3.013,9.973,26.19,59103
Stainless Steel 304,25.4,2.77,2.971,4.693,23.33,25201
Carbon Steel,50.8,1.65,2.952,6.059,15.27,10751
Carbon Steel,25.4,1.65,12.025,11.737,49.14,22880
Carbon Steel,25.4,2.77,3.003,4.704,17.36,8562
Carbon Steel,50.8,1.65,11.952,23.299,45.53,35818
Carbon Steel,50.8,3.91,3.024,13.694,22.18,20407
Stainless Steel 316,304.8,3.4,8.954,231.431,71.93,1285771
PVC,76.2,5.16,5.987,9.609,24.4,25823
Stainless Steel 304,152.4,2.77,2.951,30.678,31.45,144046
Stainless Steel 316,25.4,1.65,6.005,5.786,36.37,38933
Carbon Steel,38.1,1.65,8.967,13.403,36.87,22661
PVC,203.2,7.04,9.01,55.154,39.65,129408
Carbon Steel,50.8,1.65,8.977,18.153,36.09,27776
Carbon Steel,38.1,2.77,6.041,14.38,28.63,22521
Carbon Steel,203.2,3.96,2.982,57.549,27.65,73529
Stainless Steel 316,38.1,3.56,3.031,9.433,28.47,57386
Carbon Steel,25.4,1.65,11.987,11.531,46.37,22017
Stainless Steel 316,25.4,2.77,11.982,18.97,70.53,116884
Galvanized Steel,152.4,3.4,11.975,147.605,62.35,233211
HDPE,152.4,2.77,8.974,11.011,31.05,25157
Carbon Steel,25.4,3.38,3.028,5.457,19.22,9407
Carbon Steel,101.6,3.05,3.026,22.586,22.94,32242
Stainless Steel 316,152.4,3.4,9.008,116.721,62.74,652582
Galvanized Steel,304.8,4.78,2.996,105.291,40.2,165642
Carbon Steel,203.2,2.77,9.019,123.048,49.66,157267
Carbon Steel,25.4,3.38,11.991,21.719,55.59,35979
Stainless Steel 304,76.2,3.05,9.014,49.903,57.09,234990
Stainless Steel 316,25.4,3.38,11.959,22.734,72.48,138187
Carbon Steel,76.2,5.16,9.0,81.962,48.4,106815
Copper,25.4,3.38,11.972,25.299,64.73,315530
HDPE,25.4,3.38,3.048,0.678,13.31,3770
Copper,25.4,3.38,5.957,12.398,33.43,153928
Carbon Steel,25.4,1.65,12.047,11.616,42.76,21405
HDPE,38.1,1.65,5.952,1.064,19.22,4698
Galvanized Steel,25.4,3.38,5.984,10.804,31.82,21509
Stainless Steel 304,76.2,3.05,2.998,16.692,27.86,80187
Stainless Steel 304,304.8,4.78,3.022,108.811,44.0,496878
Carbon Steel,38.1,2.77,9.049,21.604,40.27,33932
Copper,25.4,1.65,5.997,6.639,31.82,86374
PVC,76.2,2.11,9.03,6.232,26.76,18744
Copper,152.4,2.77,3.001,34.093,28.53,415115
HDPE,50.8,3.91,11.987,6.501,37.36,17781
Carbon Steel,38.1,1.65,6.033,8.974,26.82,15501
Galvanized Steel,76.2,2.11,5.987,22.813,33.79,40360
HDPE,101.6,3.05,12.017,10.689,36.0,25382
Copper,38.1,2.77,11.95,33.017,60.23,407722
Carbon Steel,50.8,3.91,2.959,13.471,21.58,20036
Carbon Steel,38.1,3.56,6.029,18.418,31.63,28481
Stainless Steel 316,101.6,2.11,11.988,63.632,70.98,363679
PVC,101.6,5.74,3.001,7.318,19.15,19801
Carbon Steel,25.4,1.65,2.994,3.007,14.83,6421
Carbon Steel,50.8,1.65,11.955,23.774,48.47,36495
Carbon Steel,38.1,2.77,5.956,14.483,31.0,23392
Carbon Steel,76.2,2.11,3.034,11.674,19.24,18033
Stainless Steel 304,25.4,1.65,8.992,8.784,44.52,46925
Carbon Steel,25.4,3.38,12.01,21.803,51.43,35858
Stainless Steel 316,50.8,2.77,6.041,19.898,39.77,115586
